matrix_size,deterministic_time_s,freivalds_time_s,speedup_factor
10,0.0003049000515602529,6.330001633614302e-05,4.816745227064992
25,0.0037327000172808766,0.00035769998794421554,10.435281361717584
50,0.018851300003007054,0.0008116999524645507,23.22446853146803
75,0.05578430002788082,0.0017485000425949693,31.904088458065285
100,0.13858269999036565,0.0028975000022910535,47.82836924272245
125,0.2570090999943204,0.004628800030332059,55.523915120585414
150,0.42056589998537675,0.006776000023819506,62.0669862023276
