Dataset,QS_Time,QS_Comps,Mo3_Time,Mo3_Comps
Uniform,0.00535900000249967,37253,0.003546199994161725,27658
Sorted,0.0017345000087516382,27617,0.0009094999986700714,20006
Killer,0.0032033000024966896,23343,0.004264700008207001,49990
